2023-03-15 01:39:38.418 [main] INFO  ScientificCalculator.ScientificCalculator - [SQ ROOT] - 3.0
2023-03-15 01:39:38.419 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-15 01:39:38.420 [main] INFO  ScientificCalculator.ScientificCalculator - [SQ ROOT] - 4.0
2023-03-15 01:39:38.420 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - SQ ROOT] - 2.0
2023-03-15 01:39:38.420 [main] INFO  ScientificCalculator.ScientificCalculator - [NATURAL LOG] - 1.0
2023-03-15 01:39:38.421 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - NATURAL LOG] - 0.0
2023-03-15 01:39:38.421 [main] INFO  ScientificCalculator.ScientificCalculator - [NATURAL LOG] - 300.0
2023-03-15 01:39:38.421 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - NATURAL LOG] - 5.703782474656201
2023-03-15 01:39:38.422 [main] INFO  ScientificCalculator.ScientificCalculator - [NATURAL LOG] - 2.4
2023-03-15 01:39:38.422 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-15 01:39:38.422 [main] INFO  ScientificCalculator.ScientificCalculator - [NATURAL LOG] - 2.1
2023-03-15 01:39:38.422 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-15 01:39:38.423 [main] INFO  ScientificCalculator.ScientificCalculator - [FACTORIAL] - 3
2023-03-15 01:39:38.423 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - FACTORIAL] - 6.0
2023-03-15 01:39:38.423 [main] INFO  ScientificCalculator.ScientificCalculator - [FACTORIAL] - 6
2023-03-15 01:39:38.424 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - FACTORIAL] - 720.0
2023-03-15 01:39:38.424 [main] INFO  ScientificCalculator.ScientificCalculator - [FACTORIAL] - 5
2023-03-15 01:39:38.424 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - FACTORIAL] - 120.0
2023-03-15 01:39:38.424 [main] INFO  ScientificCalculator.ScientificCalculator - [FACTORIAL] - 10
2023-03-15 01:39:38.425 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - FACTORIAL] - 3628800.0
2023-03-15 01:39:38.430 [main] INFO  ScientificCalculator.ScientificCalculator - [POWER - 2.0 RAISED TO] 5.0
2023-03-15 01:39:38.430 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - POWER] - 32.0
2023-03-15 01:39:38.430 [main] INFO  ScientificCalculator.ScientificCalculator - [POWER - 9.0 RAISED TO] 2.0
2023-03-15 01:39:38.430 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - POWER] - 81.0
2023-03-15 01:39:38.431 [main] INFO  ScientificCalculator.ScientificCalculator - [POWER - 2.0 RAISED TO] 2.0
2023-03-15 01:39:38.431 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - POWER] - 4.0
2023-03-15 01:39:38.431 [main] INFO  ScientificCalculator.ScientificCalculator - [POWER - -2.0 RAISED TO] 20.0
2023-03-15 01:39:38.432 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - POWER] - 1048576.0
2023-03-15 01:39:38.432 [main] INFO  ScientificCalculator.ScientificCalculator - [SQ ROOT] - 121.0
2023-03-15 01:39:38.432 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - SQ ROOT] - 11.0
2023-03-15 01:39:38.432 [main] INFO  ScientificCalculator.ScientificCalculator - [SQ ROOT] - 14641.0
2023-03-15 01:39:38.433 [main] INFO  ScientificCalculator.ScientificCalculator - [RESULT - SQ ROOT] - 121.0
